src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:13:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:13:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/config/ModelMapperConfig.java:10:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/ModelMapperConfig.java:14:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/co/edu/unbosque/horizont/config/ModelMapperConfig.java:15:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:7:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:9:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:10:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:14:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:16:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:18:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:19:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/WebConfig.java:24:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'registry' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/config/package-info.java:1:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/config/package-info.java:4:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/package-info.java:8:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/package-info.java:9:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/config/package-info.java:12:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:14:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:26:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:27:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:29:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'marketService' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:29:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'watchlistService' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:33:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:39:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:40:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:43:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'symbols' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:44:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'quotes' could be declared final
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:49:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'symbols' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:56:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:57:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'symbols' could be declared final
src/main/java/co/edu/unbosque/horizont/controller/MarketController.java:58:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'quotes' could be declared final
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:16:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:23:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:30:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'usuarioService1' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:33:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused constructor parameters such as 'alpacaClient'.
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:33:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused constructor parameters such as 'modelMapper'.
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:33:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused constructor parameters such as 'usuarioService'.
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:40:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:41:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:44:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'dto' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/controller/UsuarioController.java:45:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'respuesta' could be declared final
src/main/java/co/edu/unbosque/horizont/controller/package-info.java:1:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/controller/package-info.java:10:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/controller/package-info.java:13:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:7:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:9:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:9:	DataClass:	DataClass: The class 'AgreementDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:17:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:19:	FieldNamingConventions:	FieldNamingConventions: The field name 'signed_at' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:24:	FieldNamingConventions:	FieldNamingConventions: The field name 'ip_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:40:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'agreement' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:49:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getSigned_at' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:58:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'signed_at' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:58:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'signed_at' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:58:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setSigned_at' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AgreementDTO.java:67:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getIp_address' doesn't match '[a-z][a-zA-Z0-9]*'
